,incident,count,incident_name
288,Prominent Person: Brad Friedman,132,Prominent_Person:_Brad_Friedman
289,Prominent Person: Chanel Rion Memo,40026,Prominent_Person:_Chanel_Rion_Memo
290,Prominent Person: Clay Higgins,198,Prominent_Person:_Clay_Higgins
291,Prominent Person: Crowder MI Claims,5335,Prominent_Person:_Crowder_MI_Claims
292,Prominent Person: Cuddy Camaro,2089,Prominent_Person:_Cuddy_Camaro
293,Prominent Person: Darin Southam,68883,Prominent_Person:_Darin_Southam
294,Prominent Person: Ghost Ballots,23231,Prominent_Person:_Ghost_Ballots
295,Prominent Person: Jody Hice,3550,Prominent_Person:_Jody_Hice
296,Prominent Person: Margarita Simonyan Tweet,178,Prominent_Person:_Margarita_Simonyan_Tweet
297,Prominent Person: Marjorie Green STS,1050,Prominent_Person:_Marjorie_Green_STS
298,Prominent Person: O'Keefe NYC Fraud,81421,Prominent_Person:_O'Keefe_NYC_Fraud
299,Prominent Person: Press Secretary Fraud,24637,Prominent_Person:_Press_Secretary_Fraud
300,"Prominent Person: RNC 11,000 Claims",63473,"Prominent_Person:_RNC_11,000_Claims"
301,Prominent Person: Rubio Private Vehicles,2,Prominent_Person:_Rubio_Private_Vehicles
302,Prominent Person: Tom Fitton Livestream VBM,1725,Prominent_Person:_Tom_Fitton_Livestream_VBM
303,protest: Black Lives Matter plaza unrest,1146,protest:_Black_Lives_Matter_plaza_unrest
304,protests: left organizing,132,protests:_left_organizing
305,protests: million MAGA march,100478,protests:_million_MAGA_march
306,protests: portland unrest,4272,protests:_portland_unrest
307,protests: reused protest footage,102,protests:_reused_protest_footage
308,protests: stop the steal instructions,361,protests:_stop_the_steal_instructions
309,protests: stop the steal rallies,466591,protests:_stop_the_steal_rallies
310,riot: antifa burning things down,92051,riot:_antifa_burning_things_down
311,riot: antifa plans,170,riot:_antifa_plans
312,riot: bjork video,146,riot:_bjork_video
313,riot: crimethinc,9458,riot:_crimethinc
314,riot: democrat-led election violence,4890,riot:_democrat-led_election_violence
315,riot: mis-framed trump email,977,riot:_mis-framed_trump_email
316,riot: nigel farage prediction,21199,riot:_nigel_farage_prediction
317,riot: proud boys stabbed by blm,1069,riot:_proud_boys_stabbed_by_blm
318,riot: riot and looting around elections,251,riot:_riot_and_looting_around_elections
319,riot: stacks of bricks,19,riot:_stacks_of_bricks
320,riot: violence agianst antifa,5302,riot:_violence_agianst_antifa
321,Statistics: > 100% Voter Turnout in Swing States,1055,Statistics:_>_100%_Voter_Turnout_in_Swing_States
322,Statistics: 2% Strategy ,66,Statistics:_2%_Strategy_
323,Statistics: 98K PA Voters,41958,Statistics:_98K_PA_Voters
324,Statistics: African-American Ballot Rejections,7230,Statistics:_African-American_Ballot_Rejections
325,Statistics: Benford's Law,78210,Statistics:_Benford's_Law
326,Statistics: Chinese Language Election Storm,835,Statistics:_Chinese_Language_Election_Storm
327,Statistics: Cities That Matter,104064,Statistics:_Cities_That_Matter
328,Statistics: District 21 CA,249,Statistics:_District_21_CA
329,Statistics: GA Varieties,1049,Statistics:_GA_Varieties
330,Statistics: JW Counties Over 100%,6905,Statistics:_JW_Counties_Over_100%
331,Statistics: Kentucky Absentee Fraud,187,Statistics:_Kentucky_Absentee_Fraud
332,Statistics: Kentucky Fraud,1217,Statistics:_Kentucky_Fraud
333,Statistics: Math Video,34217,Statistics:_Math_Video
334,Statistics: Numerical Anomalies,41817,Statistics:_Numerical_Anomalies
335,Statistics: Precinct 538 FL,184,Statistics:_Precinct_538_FL
336,Statistics: Wisconsin Votes > Registered,100952,Statistics:_Wisconsin_Votes_>_Registered
337,suppression: robocall stay safe,10943,suppression:_robocall_stay_safe
338,supression: FL can't pay fines,47,supression:_FL_can't_pay_fines
339,supression: GA lock down,60269,supression:_GA_lock_down
340,supression: GA national guard,561,supression:_GA_national_guard
341,supression: ICE monitoring polls,70,supression:_ICE_monitoring_polls
342,supression: NC BLM pepper spray,56302,supression:_NC_BLM_pepper_spray
343,supression: NJ disabled only,1046,supression:_NJ_disabled_only
344,supression: NJ not allowed to vote,386,supression:_NJ_not_allowed_to_vote
345,supression: NV technical difficulties,249,supression:_NV_technical_difficulties
346,supression: NY police and PPE,138287,supression:_NY_police_and_PPE
347,supression: NY woman denied access to voting,64657,supression:_NY_woman_denied_access_to_voting
348,supression: PA train blocks voiting,6,supression:_PA_train_blocks_voiting
349,supression: riggedthefilm,915,supression:_riggedthefilm
